drug_id,drug_name,drug_synonyms_value,drug_synonyms_type,therapy_areas,drug_primary_action_value,drug_primary_action_id,drug_secondary_action_value,drug_secondary_action_id,drug_primary_indication_value,drug_primary_indication_id,drug_secondary_indication_value,drug_secondary_indication_id,drug_primary_company_value,drug_primary_company_id,drug_secondary_company_value,drug_secondary_company_id,drug_company_originator_value,drug_company_originator_id,drug_brand_names,drug_generic_names,molecular_mechanism_value,molecular_mechanism_id,cellular_mechanism_value,cellular_mechanism_id
100235,penpulimab,"AK-105|PD-1 checkpoint inhibitor (cancer), Akeso Biopharma|PD-1 checkpoint inhibtor (cancer), Akeso Biopharma/Chi Tai Tianqing Pharmaceutical|penpulimab|annike",Research Code|PINN|Research Code,Cancer,Programmed cell death protein 1 inhibitor,67136,T-lymphocyte stimulator|Immunostimulant|Anticancer monoclonal antibody,7761|393|55685,Esophagus tumor|Neuroendocrine tumor|Non-small-cell lung cancer|Gastrointestinal tumor|Hodgkins disease|Hepatocellular carcinoma|Nasopharyngeal carcinoma|Squamous cell carcinoma|Metastatic stomach cancer|Metastatic esophageal cancer|Metastatic head and neck cancer|Advanced solid tumor|Cancer|Urinary tract tumor,1011|1128|1262|131|161|1767|1768|307|3666|3667|3673|3713|651|738,,,CP Group Chia Tai Tianqing Pharmaceutical Group Co Ltd|Akeso Biopharma Inc,1025425|1075032,,,Akeso Biopharma Inc,1075032,,,,,,
100274,OXS-3550,"anti-CD16/anti-CD33/IL-15 trispecific NK-cell engager (TriKE, cancer), University of Minnesota/New York Medical College/GT Biopharma|OXS-3550|anti-CD16/anti-CD33 antibody + modified IL-15 crosslinker (cancer, TriKE), Oxis International|OXS-3350|1633 TriKE|161533 TriKE|GTB-3550|CD16-IL-15-CD33 trispecific killer cell engager (AML/MDS/mastocytosis/mast cell leukemia), University of Minnesota|161533|CD16-IL-15-CD33 Trike|TriKE 161533|anti-CD16/anti-CD33/IL-15 trispecific immune-cell engager (TriKE, cancer), University of Minnesota/New York Medical College/GT Biopharma|GTB-3550 Trike",Research Code|Research Code|Research Code|Research Code|Research Code|Research Code,Cancer|Musculoskeletal,CD33 modulator|IL-15 receptor agonist|Immunoglobulin gamma Fc receptor III agonist,5119|3085|5072,Immunostimulant|Leukocyte stimulator|Anticancer antibody|Natural killer cell stimulator,393|7747|55684|7757,Myelodysplastic syndrome|Acute myelogenous leukemia|Mastocytosis,1272|1731|2795,Cancer,651,GT Biopharma Inc,18728,University of Minnesota|New York Medical College,20626|23270,University of Minnesota,20626,,,,,,
100286,18F-ODS-2004436,IMAkinib|18F-ODS-2004436|Fluorine-18-ODS-2004436|ODS-2004436-[18F],Research Code|Research Code|Research Code,Cancer,,,Radiodiagnostic|Neoplasm diagnostic agent|Imaging agent,5720|7220|4155,Non-small-cell lung cancer,1262,Cancer,651,Oncodesign Biotechnology SA|Laboratoires Cyclopharma,1049167|1045160,,,Oncodesign Biotechnology SA,1049167,,,,,,
100322,ASP-1235,AGS-62P1|ASP-1235,Research Code|Research Code,Cancer,Flt3 tyrosine kinase modulator,3805,Microtubule inhibitor|Anticancer monoclonal antibody,2575|55685,,,Acute myelogenous leukemia,1731,,,Astellas Pharma Inc,1013295,Astellas Pharma Inc,1013295,,,,,,
100346,TAB-004,"BTLA checkpoint inhibitor (solid tumors), Shanghai Junshi Biosciences|JS-004|TAB-004/JS-004, Shanghai Junshi Biosciences|TAB-004, Shanghai Junshi Biosciences|recombinant humanized anti-BTLA monoclonal antibody (melanoma/lung cancer/lymphoma), Shanghai Junshi Biosciences|icatolimab|TAB-004",Research Code|Research Code|Research Code|PINN|Research Code,Cancer,B and T lymphocyte attenuator inhibitor,37611,T-lymphocyte stimulator|Immunostimulant|Anticancer monoclonal antibody,7761|393|55685,Lymphoma|Stage IV melanoma|Metastatic bladder cancer|Metastatic lung cancer|Metastatic head and neck cancer|Advanced solid tumor|Metastatic renal cell carcinoma|Solid tumor,203|3257|3466|3668|3673|3713|4250|725,,,Shanghai Junshi Biosciences Co Ltd,1104388,,,Shanghai Junshi Biosciences Co Ltd,1104388,,Tenilapine,5-HT2C Receptor Ligands|Dopamine D1 Receptor (DRD1) Ligands|Muscarinic M4 Receptor Ligands|Muscarinic M2 Receptor Ligands|Muscarinic M1 Receptor Ligands|5-HT7 Receptor Ligands|5-HT6 Receptor Ligands|5-HT2A Receptor Ligands,1778|1532|2066|2064|2063|1967|1428|1966,Signal Transduction Modulators,1402
100355,PLB-1003,"PLB-1003|ALK Inhibitor (oral capsule, non-small cell lung cancer), Beijing Purunao Biotech",Research Code,Cancer,Anaplastic lymphoma kinase receptor inhibitor,3736,Anticancer protein kinase inhibitor,62255,Non-small-cell lung cancer,1262,,,Beijing Purunao Biotech Co Ltd,1094627,,,Beijing Purunao Biotech Co Ltd,1094627,,,,,,
100408,"[18F]F-AraG (cancer), CellSight/Standford University/University of California San Francisco","[18F]F-AraG|[18F]F-AraG (cancer), CellSight/Standford University/University of California San Francisco|fluorine-18(18F)-radiolabeled-D-arabinofuranosylguanine (cancer), CellSight/University of California San Francisco/Stanford University|VisAcT|[18F]F-AraG (GvHD), CellSight/Standford University/University of California San Francisco|fluorine-18-F-AraG|F-AraG-[18F]",Research Code|Research Code,Cancer|Immune|Infection,,,Immune diagnostic agent|PET contrast agent|Imaging agent|Neoplasm diagnostic agent|Radiodiagnostic,7215|5555|4155|7220|5720,Coronavirus disease 19 infection|HIV infection|Bladder cancer|Squamous cell carcinoma|Metastatic non small cell lung cancer|Graft versus host disease|Head and neck tumor|Cancer,10406|158|2380|307|3665|616|623|651,,,"Stanford University|CellSight Technology, Inc.|University of California San Francisco",20679|1104255|24773,,,"CellSight Technology, Inc.",1104255,,,,,,
100409,ECT-100,"ECT-100|UM-171-expanded allogeneic umbilical cord-derived CD34+ hematopoietic stem cell therapy (hematologic malignancies), ExCellThera|UM-171|ECT-001|ECT-001-CB",Research Code|Research Code|Research Code|Research Code|Research Code,Cancer|Hematologic|Immune,,,Hematopoietic stimulator|Anticancer,610|1545,Myelodysplastic syndrome|Acute lymphoblastic leukemia|Acute myelogenous leukemia|Multiple myeloma|Leukemia|Hematological neoplasm|Sickle cell anemia|Non-Hodgkin lymphoma|Hematopoietic stem cell transplantation|Graft versus host disease,1272|1728|1731|1828|199|2054|303|319|3888|616,,,ExCellThera,1110204,,,ExCellThera,1110204,,,,,,
100434,SGM-101,SGM-101,Research Code,Cancer,CD66e antagonist,5275,Neoplasm diagnostic agent|Imaging agent|Anticancer|Anticancer monoclonal antibody|Gastrointestinal diagnostic agent,7220|4155|1545|55685|7213,Rectal tumor|Metastatic colorectal cancer|Metastatic lung cancer|Cancer|Colorectal tumor,1055|3658|3668|651|989,,,Institut de Recherche en Cancerologie de Montpellier|SurgiMab,1043085|1117982,,,Institut de Recherche en Cancerologie de Montpellier,1043085,,,Mineralocorticoid Receptor (MR) Antagonists,2526,Signal Transduction Modulators,1402
100436,"anti-BCMA CAR T-cell therapy (multiple myeloma), National Cancer Institute","anti-BCMA CAR T-cell therapy (multiple myeloma), National Cancer Institute",,Cancer,APRIL receptor modulator,8255,T-lymphocyte stimulator|Genetically engineered autologous cell therapy|Immunostimulant|Anticancer,7761|4790|393|1545,Multiple myeloma,1828,,,National Cancer Institute (NCI),20519,,,National Cancer Institute (NCI),20519,,,,,,
100441,IMA-101,"IMA-101|autologous adoptive T-cell therapy (ACTolog, cancer), Immatics",Research Code,Cancer,,,Anticancer,1545,Cancer|Solid tumor,651|725,,,Immatics NV,1005804,,,Immatics NV,1005804,,,,,,
100445,IMA-202,"IMA-202|TCR T-cell therapy (solid tumor/NSCLC/hepatocellular carcinoma), Immatics",Research Code,Cancer,HLA antigen modulator,19106,T-lymphocyte stimulator|Genetically engineered autologous cell therapy|Immunostimulant|Anticancer,7761|4790|393|1545,Hepatocellular carcinoma|Metastatic non small cell lung cancer|Advanced solid tumor,1767|3665|3713,,,Immatics NV,1005804,,,Immatics NV,1005804,,,,,,
100523,INCB-59872,"INCB-59872|INCB-059872|LSD1 inhibitor (oral tablet, small cell lung cancer/ Ewing sarcoma/ neuroendocrine tumors/ acute myeloid leukemia/ myelodysplastic syndrome/ myelofibrosis/ sickle cell anemia), Incyte Corp|LSD1 inhibitor (oral tablet, small cell lung cancer/ Ewing sarcoma/ neuroendocrine tumors/ acute myeloid leukemia/ myelodysplastic syndrome/ myelofibrosis), Incyte Corp",Research Code|Research Code,Cancer|Hematologic,Lysine specific histone demethylase 1 inhibitor,14681,Anticancer,1545,,,Neuroendocrine tumor|Small-cell lung cancer|Myelodysplastic syndrome|Acute myelogenous leukemia|Hematological neoplasm|Myelofibrosis|Ewing sarcoma|Sickle cell anemia|Solid tumor,1128|1261|1272|1731|2054|2436|2975|303|725,,,Incyte Corp,17216,Incyte Corp,17216,,,,,,
100525,INCAGN-1876,"INCAGN-1876|INCAGN-01876|anti-GITR antibody (solid tumors), Incyte Corp|ragifilimab",Research Code|Research Code|INN,Cancer,Activation-inducible TNF receptor agonist,8259,Anticancer|Anticancer antibody,1545|55684,Hematological neoplasm|Glioblastoma|Metastatic head and neck cancer|Advanced solid tumor,2054|2454|3673|3713,,,Agenus Inc|Incyte Corp,23221|17216,,,Incyte Corp,17216,,,,,,
100585,SLATE-001,"tumor-specific neo-antigen therapy (cancer), Gritstone Oncology|SLATE-001|GRT-C903|GRT-R904|personalized shared neoantigen-based prime-boost cancer vaccine (im, advanced solid tumor), Gritstone Oncology|GRT-C903/GRT-R904|SLATE",Research Code|Research Code|Research Code,Cancer,,,Immunomodulator|Therapeutic vaccine|Anticancer,1596|12379|1545,Pancreatic ductal adenocarcinoma|Metastatic colorectal cancer|Metastatic non small cell lung cancer|Metastatic pancreas cancer|Advanced solid tumor|Cancer,1507|3658|3665|3669|3713|651,,,Gritstone Oncology,1115276,,,Gritstone Oncology,1115276,,,,,,
10060,KRN-7000,"KRN-7000|AGL-506|AGL-514|AGL-517|AGL-525|AGL-529|AGL-533|AGL-535|AGL-553|AGL-582|AGL-583|agelasphin derivatives, Kirin|alpha-galactosylceramide, Kirin",Research Code|Analogue|Research Code|Analogue|Research Code|Analogue|Research Code|Analogue|Research Code|Analogue|Research Code|Analogue|Research Code|Analogue|Research Code|Analogue|Research Code|Research Code|Analogue|Research Code,Cancer|Infection,,,Immunostimulant|Natural killer T-lymphocyte stimulator|Antiviral|Anticancer,393|173716|991|1545,,,Hepatitis B virus infection|Hepatitis C virus infection|Cancer,152|153|651,,,Kirin Brewery Co Ltd,17661,Kirin Brewery Co Ltd,17661,,,,,,
100612,troriluzole hydrochloride,"trigriluzole|riluzole prodrug (spinocerebellar ataxia), Biohaven Pharmaceutical|riluzole prodrug (spinocerebellar ataxia/anxiety disorder/mood disorder/depression), Biohaven Pharmaceutical|FC-4157|BHV-4157|riluzole prodrug (spinocerebellar ataxia/anxiety disorder/mood disorder/depression/Alzheimer disease), Biohaven Pharmaceutical|troriluzole|troriluzole hydrochloride",Research Code|Research Code|USAN|PINN|USAN,Cancer|Neurology/Psychiatric,,,Antidepressant|Anticancer|Anxiolytic|Glutamate modulator|Neuroprotectant,2941|1545|2942|869|1615,Alzheimers disease|Hodgkins disease|Renal cell carcinoma|Lymphoma|Spinocerebellar ataxia|Friedreich ataxia|Squamous cell carcinoma|Stage III melanoma|Stage IV melanoma|Metastatic bladder cancer|Metastatic non small cell lung cancer|Metastatic head and neck cancer|Advanced solid tumor|Essential tremor|Metastatic renal cell carcinoma|Obsessive compulsive disorder|Ataxia,14|161|1766|203|2407|2974|307|3256|3257|3466|3665|3673|3713|4085|4250|468|813,Generalized anxiety disorder|Mood disorder|Solid tumor,1937|533|725,Biohaven Pharmaceutical Holding Co Ltd|BioShin Ltd,1095923|1176447,,,Biohaven Pharmaceutical Holding Co Ltd,1095923,,,Growth Hormone Release Inhibitors,582,Signal Transduction Modulators,1402
100661,ISB-1342,"GBR-1342|CD38/CD3 bispecific monoclonal antibody (cancer/multiple myeloma), Glenmark Pharmaceuticals|anti-CD3/anti-CD38 bispecific Tcell engager (bsAb/BEAT, cancer), Glenmark|CD38/CD3 bispecific monoclonal antibody (cancer/multiple myeloma), Ichnos Sciences|anti-CD3/anti-CD38 bispecific Tcell engager (bsAb/BEAT, cancer), Ichnos Sciences|ISB-1342",Research Code|Research Code,Cancer,CD3 modulator|ADP ribosyl cyclase-1 modulator,5023|5134,T-lymphocyte stimulator|Immunostimulant|Anticancer monoclonal antibody,7761|393|55685,Multiple myeloma|Cancer,1828|651,,,Ichnos Sciences,1197193,Glenmark Pharmaceuticals SA,1078429,Glenmark Pharmaceuticals SA,1078429,,,,,,
100695,"alflutinib mesylate (oral/tablet, cancer), Allist Pharmaceuticals/ArriVent Biopharma","small molecule therapeutic (oral/tablet, cancer), Allist Pharmaceuticals|aifutini mesylate|aifutinib mesylate|AST-2818|alflutinib|alflutinib mesylate (oral/tablet, cancer), Allist Pharmaceuticals|fumeitini mesylate|furmonertinib|alflutinib mesylate (oral/tablet, cancer), Allist Pharmaceuticals/ArriVent Biopharma",Research Code|Research Code,Cancer,EGFR family tyrosine kinase receptor inhibitor,3754,Anticancer protein kinase inhibitor,62255,Non-small-cell lung cancer|Metastatic non small cell lung cancer|Solid tumor,1262|3665|725,,,ArriVent Biopharma Inc.|Allist Pharmaceuticals Inc,1258805|1033850,,,Allist Pharmaceuticals Inc,1033850,,,,,,
100744,PF-06671008,"anti-CD3/anti-cadherin 3 bispecific T-cell engager (DART, cancer), MacroGenics/Pfizer|P-cadherin LP-DART|PF-06671008|anti-CD3/anti-p-cadherin bispecific T-cell engager (DART, cancer), MacroGenics/Pfizer",Research Code,Cancer,CD3 modulator|Cadherin-3 modulator,5023|6148,Anticancer|T-lymphocyte stimulator|Anticancer antibody|Immunostimulant,1545|7761|55684|393,,,Advanced solid tumor|Cancer,3713|651,,,Pfizer Inc|MacroGenics Inc,18767|29060,MacroGenics Inc,29060,,,,,,
100751,PNK-007,"PNK-007|placental natural killer (PNK) cell therapy (AML/MM/GBM), Celularity",Research Code,Cancer,,,Anticancer|Natural killer cell stimulator,1545|7757,Acute myelogenous leukemia|Multiple myeloma|Glioblastoma,1731|1828|2454,,,Celularity Inc,1152669,Celgene Cellular Therapeutics,1003012,Celgene Cellular Therapeutics,1003012,,,,,,
100780,"engineered trastuzumab + pyrrolobenzodiazepine dimer cytotoxin (iv infusion, solid tumors), ADC Therapeutics","ADCT-502|antibody drug conjugate (solid tumors), ADC Therapeutics|engineered trastuzumab + pyrrolobenzodiazepine dimer cytotoxin (iv infusion, solid tumors), ADC Therapeutics",Research Code,Cancer,Erbb2 tyrosine kinase receptor inhibitor,3756,Anticancer monoclonal antibody|Anticancer protein kinase inhibitor,55685|62255,,,Advanced solid tumor|Cancer,3713|651,,,ADC Therapeutics Sarl,1068935,ADC Therapeutics Sarl,1068935,,,,,,
100784,ET-190,"ET-190|CD19-ARTEMIS T-cells (cancer), Eureka Therapeutics|ET190L1-ARTEMIS T cells (hematological cancer), Eureka therapeutics|ET190L1-ARTEMIS|anti-CD19 CAR T-cell therapy (cancer), Eureka Therapeutics",Research Code|Trade Name,Cancer,B-lymphocyte antigen CD19 modulator,5080,T-lymphocyte stimulator|Genetically engineered autologous cell therapy|Anticancer|Immunostimulant,7761|4790|1545|393,Chronic lymphocytic leukemia|Mantle cell lymphoma|Follicle center lymphoma|Diffuse large B-cell lymphoma|B-cell lymphoma|Non-Hodgkin lymphoma|Burkitts lymphoma,1734|1744|1745|1749|316|319|791,Hematological neoplasm,2054,Eureka Therapeutics Inc,1053219,,,Eureka Therapeutics Inc,1053219,,,,,,
10084,tegafur + gimeracil + oteracil potassium,"Cefesone|S-1, Sanofi|TS-1, Sanofi|BMS-247616|tegafur + gimeracil + oxonate potassium|tegafur + gimeracil + oteracil potassium|Teysuno|TS-ONE|TS-1 combination capsule T20|TS-1 combination capsule T25|T-20, Taiho|T-25",Trade Name|Research Code|Research Code|Research Code|Trade Name|Trade Name,Cancer,Orotate phosphoribosyltransferase inhibitor|Dihydropyrimidine dehydrogenase inhibitor,6661|782,Anticancer antimetabolite|Anticancer,1569|1545,Non-small-cell lung cancer|Stomach tumor|Biliary cancer|Adenocarcinoma|Pancreas tumor|Metastatic colorectal cancer|Metastatic stomach cancer|Breast tumor|Head and neck tumor|Cancer|Lung tumor|Colorectal tumor,1262|127|1516|2399|249|3658|3666|49|623|651|755|989,Hepatocellular carcinoma|Prostate tumor|Squamous cell carcinoma|Metastatic esophageal cancer|Advanced solid tumor|Metastatic renal cell carcinoma|Uterine cervix tumor,1767|276|307|3667|3713|4250|427,Taiho Pharmaceutical Co Ltd|Jeil Pharmaceutical Co Ltd|TTY Biopharm Co Ltd|Nordic Group|Taiho Oncology Inc,18720|17331|29954|1045267|1092741,Sanofi SA|Bristol-Myers Squibb Co,1009547|15065,Taiho Pharmaceutical Co Ltd,18720,,,,,,
100902,GB-5005,"anti-CD19 CAR T-cell therapy (leukemia, lupus), Shanghai GeneChem|GB-5005",Research Code|Research Code,Cancer|Immune,B-lymphocyte antigen CD19 modulator,5080,Immunostimulant|Anticancer|T-lymphocyte stimulator|Genetically engineered autologous cell therapy,393|1545|7761|4790,B-cell acute lymphoblastic leukemia|Leukemia|B-cell lymphoma|Non-Hodgkin lymphoma,1729|199|316|319,Systemic lupus erythematosus,318,Shanghai GeneChem Co Ltd,1079360,,,Shanghai GeneChem Co Ltd,1079360,,,Progesterone Receptor Antagonists,561,Signal Transduction Modulators,1402
100983,"tapotoclax (intravenous, cancer), Amgen","AMG-176|MCL-1 inhibitor (intravenous, cancer), Amgen|tapotoclax|tapotoclax (intravenous, cancer), Amgen",Research Code|INN,Cancer,Mcl-1 differentiation protein inhibitor,11381,Anticancer,1545,Acute myelogenous leukemia|Diffuse large B-cell lymphoma|Multiple myeloma|Non-Hodgkin lymphoma,1731|1749|1828|319,Non-small-cell lung cancer,1262,Amgen Inc,14109,,,Amgen Inc,14109,,,CCK Receptor Agonists,113,Signal Transduction Modulators,1402
101034,"paclitaxel (micelle, NSCLC), Shanghai Yizhong Biotechnology/Shanghai Kaibao Pharmaceutical","paclitaxel (micelle, NSCLC), Shanghai Yizhong Biotechnology/Shanghai Kaibao Pharmaceutical",,Cancer,,,Anticancer|Microtubule stabilizer,1545|2576,Non-small-cell lung cancer,1262,Cancer,651,Shanghai Yizhong Biotechnology Co Ltd,31372,,,Shanghai Yizhong Biotechnology Co Ltd,31372,,,,,,
101064,BI-765063,"Effi-DEM|OSE-172|SIRPa checkpoint inhibitor (cancer), OSE Immunotherapeutics|BI-765063",Research Code|Research Code,Cancer,Tyrosine phosphatase substrate 1 inhibitor,53055,Immunostimulant|Macrophage stimulator|Anticancer monoclonal antibody,393|7751|55685,Advanced solid tumor|Cancer,3713|651,,,OSE Immunotherapeutics|Boehringer Ingelheim International GmbH,1059851|14881,Effimune SA,1055517,Effimune SA,1055517,,,,,,
