Raw Drug,Mechanism Of Action,drug_cleaned,drug_sponsor,standard_drug,synonym_cortellus,flag,synonym_list,drug_cleaned_cortellus,flag_synoymn_list,synonym_list_cleaned,Mapping_flag
AZD-7789,PD-1 antagonist; TIM3 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,AZD-7789,,AZD-7789,azd 7789,fexact,"['AZD-7789', 'anti-PD-1/anti-TIM-3 bispecific antibody (cancer)', 'PD1-TIM3 bsAb (cancer)', 'dual PD-1 checkpoint inhibitor/TIM-3 checkpoint inhibitor (cancer)']",AZD-7789,fexact,"['azd 7789', 'anti pd 1 anti tim 3 bispecific antibody cancer', 'pd1 tim3 bsab cancer', 'dual pd 1 checkpoint inhibitor tim 3 checkpoint inhibitor cancer']",correct_mapping
telisotuzumab vedotin,Tubulin inhibitor,telisotuzumab vedotin,,telisotuzumab vedotin,telisotuzumab vedotin,fexact,"['telisotuzumab vedotin', 'ABBV-399', 'anti-c-Met-monomethyl auristatin  ADC', 'anti-c-Met-MMAE ADC', 'ABT-399', 'Teliso-V', 'anti-c-Met-monomethyl auristatin E ADC (Intravenous, solid tumors/NSCLC)']",telisotuzumab vedotin,fexact,"['telisotuzumab vedotin', 'abbv 399', 'anti c met monomethyl auristatin adc', 'anti c met mmae adc', 'abt 399', 'teliso v', 'anti c met monomethyl auristatin e adc intravenous solid tumors nsclc']",correct_mapping
undisclosed - chemotherapy,Unidentified pharmacological activity,undisclosed - chemotherapy,,,,0,['undisclosed - chemotherapy'],,0,[],0
"immunotherapy, unspecified",Immuno-oncology therapy,immunotherapy,unspecified,,,0,['immunotherapy'],,0,[],0
capmatinib,MET tyrosine kinase inhibitor,capmatinib,,capmatinib hydrochloride,capmatinib,fexact,"['capmatinib', 'INC-280', 'INCB-028060', 'INCB-28060', 'capmatinib dihydrochloride hydrate', 'capmatinib hydrochloride', 'c-Met tyrosine kinase inhibitor (oral, capsule/tablet, cancer), Novartis', 'Tabrecta', 'c-Met tyrosine kinase inhibitor (oral, capsule/tablet, cancer)']",capmatinib hydrochloride,fexact,"['capmatinib', 'inc 280', 'incb 028060', 'incb 28060', 'capmatinib dihydrochloride hydrate', 'capmatinib hydrochloride', 'c met tyrosine kinase inhibitor oral capsule tablet cancer novartis', 'tabrecta', 'c met tyrosine kinase inhibitor oral capsule tablet cancer']",correct_mapping
sitravatinib,RET tyrosine kinase inhibitor,sitravatinib,,sitravatinib,sitravatinib,fexact,"['MG-516', 'multikinase inhibitor (oral, cancer)', 'sitravatinib', 'multikinase inhibitor (oral, cancer),/', 'multikinase inhibitor (oral, cancer), Mirati Therapeutics/', 'MGCD-516 malate', 'MGCD-516', 'multikinase inhibitor (oral, cancer), Methylgene', 'sitravatinib malate', 'MGCD-0516', 'MG-91516']",sitravatinib,fexact,"['mg 516', 'multikinase inhibitor oral cancer', 'sitravatinib', 'multikinase inhibitor oral cancer', 'multikinase inhibitor oral cancer mirati therapeutics', 'mgcd 516 malate', 'mgcd 516', 'multikinase inhibitor oral cancer methylgene', 'sitravatinib malate', 'mgcd 0516', 'mg 91516']",correct_mapping
brigatinib,EGFR antagonist; Anaplastic lymphoma kinase inhibitor; ROS receptor tyrosine kinase inhibitor,brigatinib,,brigatinib,brigatinib,fexact,"['AP-26113', 'anaplastic lymphoma kinase/EGFR inhibitors (cancer)', 'brigatinib', 'ALK/EGFR inhibitors (cancer)', 'Alunbrig']",brigatinib,fexact,"['ap 26113', 'anaplastic lymphoma kinase egfr inhibitors cancer', 'brigatinib', 'alk egfr inhibitors cancer', 'alunbrig']",correct_mapping
sotorasib,K-Ras inhibitor,sotorasib,,sotorasib,sotorasib,fexact,"['Lumakras', 'sotorasib', 'AMG-510', 'KRAS inhibitor (G12C-mutated solid tumors)']",sotorasib,fexact,"['lumakras', 'sotorasib', 'amg 510', 'kras inhibitor g12c mutated solid tumors']",correct_mapping
almonertinib,EGFR kinase inhibitor,almonertinib,,aumolertinib,almonertinib,fexact,"['aumolertinib', 'AMEILE', 'HS-10296', 'almonertinib', 'omatinib mesylate', 'EQ-143']",aumolertinib,fexact,"['aumolertinib', 'ameile', 'hs 10296', 'almonertinib', 'omatinib mesylate', 'eq 143']",correct_mapping
savolitinib,MET tyrosine kinase inhibitor,savolitinib,,savolitinib,savolitinib,fexact,"['c-Met inhibitor (cancer), Hutchison', 'savolitinib', 'HM-5016504', 'Orpathys', 'Volitinib', 'HMPL-504', 'AZD-6094', 'wolitini', 'c-Met inhibitor (cancer)']",savolitinib,fexact,"['c met inhibitor cancer hutchison', 'savolitinib', 'hm 5016504', 'orpathys', 'volitinib', 'hmpl 504', 'azd 6094', 'wolitini', 'c met inhibitor cancer']",correct_mapping
tislelizumab,PD-1 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,tislelizumab,,tislelizumab,tislelizumab,fexact,"['tislelizumab', 'VDT-482', 'immune checkpoint inhibitor (solid/hematological cancers)', 'PD-1 checkpoint inhibitor (cancer),/', 'mAbs target-7 (solid/hematological cancers)', 'PD-1 checkpoint inhibitor (cancer),/Novartis', 'BGB-A317', 'PD-1 checkpoint inhibitor (solid/hematological cancers)', 'BGB-108', 'PD-1 mAb (solid/hematological cancers)']",tislelizumab,fexact,"['tislelizumab', 'vdt 482', 'immune checkpoint inhibitor solid hematological cancers', 'pd 1 checkpoint inhibitor cancer', 'mabs target 7 solid hematological cancers', 'pd 1 checkpoint inhibitor cancer novartis', 'bgb a317', 'pd 1 checkpoint inhibitor solid hematological cancers', 'bgb 108', 'pd 1 mab solid hematological cancers']",correct_mapping
vinorelbine,Microtubule inhibitor; Tubulin inhibitor; Apoptosis stimulant; Vinca alkaloid,vinorelbine,,vinorelbine,vinorelbine,fexact,"['vinorelbine tartrate', 'KW-2307', 'vinorelbine', 'KW-3407', 'Eunades', 'vinorelbine monotartrate', 'Navelbine']",vinorelbine,fexact,"['vinorelbine tartrate', 'kw 2307', 'vinorelbine', 'kw 3407', 'eunades', 'vinorelbine monotartrate', 'navelbine']",correct_mapping
surufatinib,Colony stimulating factor 1 receptor antagonist; FGF receptor 1 tyrosine kinase inhibitor; VEGFR-1 tyrosine kinase inhibitor; VEGFR-2 tyrosine kinase inhibitor; VEGFR-3 tyrosine kinase inhibitor; Immuno-oncology therapy,surufatinib,,surufatinib,surufatinib,fexact,"['anticancer agents', 'sulfatinib', 'kinase inhibitors (cancer)', 'Sulanda', 'HMPL-012', 'suofantini', 'surufatinib', 'VEGFR-1, 2, 3 and FGFR 1 inhibitor (oral, cancer)']",surufatinib,fexact,"['anticancer agents', 'sulfatinib', 'kinase inhibitors cancer', 'sulanda', 'hmpl 012', 'suofantini', 'surufatinib', 'vegfr 1 2 3 and fgfr 1 inhibitor oral cancer']",correct_mapping
"tretinoin, Roche",Microbial collagenase inhibitor; Protein synthesis inhibitor; Retinoic acid receptor agonist,tretinoin,Roche,tretinoin,tretinoin,fexact,"['tretinoin, Roche', 'NSC-122758', 'all-trans retinoic acid, Roche', 'all-trans-Retinoic acid', 'ATRA', 'IDP-121', 'Vesanoid', 'ATRA, Roche', 'tretinoin', 'all-trans retinoic acid']",tretinoin,fexact,"['tretinoin roche', 'nsc 122758', 'all trans retinoic acid roche', 'all trans retinoic acid', 'atra', 'idp 121', 'vesanoid', 'atra roche', 'tretinoin', 'all trans retinoic acid']",correct_mapping
atezolizumab,PD-L1 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,atezolizumab,,atezolizumab,atezolizumab,fexact,"['MPDL-3280A', 'PD-L1 checkpoint inhibitor (cancer),//', 'atezolizumab', 'RG-7746', 'PD-L1 checkpoint inhibitor (cancer), Genentech/Roche/', 'PD-L1 checkpoint inhibitor (cancer),/Roche/', 'RO-5541267', 'anti-PDL1 MAb (solid tumors), Genentech', 'anti-PDL1 MAb (solid tumors)', 'RG-7446', 'Tecentriq']",atezolizumab,fexact,"['mpdl 3280a', 'pd l1 checkpoint inhibitor cancer', 'atezolizumab', 'rg 7746', 'pd l1 checkpoint inhibitor cancer genentech roche', 'pd l1 checkpoint inhibitor cancer roche', 'ro 5541267', 'anti pdl1 mab solid tumors genentech', 'anti pdl1 mab solid tumors', 'rg 7446', 'tecentriq']",correct_mapping
"tumour infiltrating lymphocytes therapy, Shanghai OriginCell Therapeutics",Immuno-oncology therapy,tumour infiltrating lymphocytes therapy,Shanghai OriginCell Therapeutics,,,0,['tumour infiltrating lymphocytes therapy'],,0,[],0
SAR-444245,Interleukin 2 receptor agonist; T cell stimulant,SAR-444245,,THOR-707,sar 444245,fexact,"['THOR-707', 'Synthorin IL-2', 'IL-2 IO synthorin', 'SYTX80-013-A', 'SAR-444245', 'pegylated IL-2 (lyophilized, intravenous, cancer/solid tumor)', 'synthetic IL-2 (cancer)', 'Synthorin cytokine (cancer)']",THOR-707,fexact,"['thor 707', 'synthorin il 2', 'il 2 io synthorin', 'sytx80 013 a', 'sar 444245', 'pegylated il 2 lyophilized intravenous cancer solid tumor', 'synthetic il 2 cancer', 'synthorin cytokine cancer']",correct_mapping
NGM-707,Immuno-oncology therapy; Leukocyte immunoglobulin-like receptor B2 antagonist; ILT2 inhibitor,NGM-707,,NGM-707,ngm 707,fexact,"['dual ILT2/ILT4 checkpoint inhibitor (advanced solid tumors), NGM Biopharmaceuticals/', 'dual LILRB1/LILRB2 checkpoint inhibitor (advanced solid tumors), NGM Biopharmaceuticals/', 'NGM-707', 'dual ILT2/ILT4 checkpoint inhibitor (advanced solid tumors),/', 'dual LILRB1/LILRB2 checkpoint inhibitor (advanced solid tumors),/']",NGM-707,fexact,"['dual ilt2 ilt4 checkpoint inhibitor advanced solid tumors ngm biopharmaceuticals', 'dual lilrb1 lilrb2 checkpoint inhibitor advanced solid tumors ngm biopharmaceuticals', 'ngm 707', 'dual ilt2 ilt4 checkpoint inhibitor advanced solid tumors', 'dual lilrb1 lilrb2 checkpoint inhibitor advanced solid tumors']",correct_mapping
VTP-600,Immuno-oncology therapy,VTP-600,,VTP-600,vtp 600,fexact,['VTP-600'],VTP-600,fexact,['vtp 600'],correct_mapping
osimertinib (tablet),EGFR kinase inhibitor,osimertinib,,osimertinib,osimertinib,fexact,"['osimertinib mesylate', 'AZ-7550', 'osimertinib', 'AZ-5104', 'Tagrisso', 'osimertinib (T790M-mutation-targeting, NSCLC)', 'mereletinib', 'AZD-9291']",osimertinib,fexact,"['osimertinib mesylate', 'az 7550', 'osimertinib', 'az 5104', 'tagrisso', 'osimertinib t790m mutation targeting nsclc', 'mereletinib', 'azd 9291']",correct_mapping
MS-20,Reducing agent; Natural killer cell stimulant,MS-20,,MS-20,ms 20,fexact,"['Chemo Young', 'MS-20', 'MicroSoy-20']",MS-20,fexact,"['chemo young', 'ms 20', 'microsoy 20']",correct_mapping
IBI-323,PD-L1 antagonist; Lymphocyte-activation gene 3 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,IBI-323,,IBI-323,ibi 323,fexact,"['dual PD-L1 checkpoint inhibitor/LAG-3 checkpoint inhibitor (cancer)', 'IBI-323', 'anti PD-L1/LAG-3 bispecific monoclonal antibody (cancer)']",IBI-323,fexact,"['dual pd l1 checkpoint inhibitor lag 3 checkpoint inhibitor cancer', 'ibi 323', 'anti pd l1 lag 3 bispecific monoclonal antibody cancer']",correct_mapping
ruxolitinib,Janus kinase 1 inhibitor; Janus kinase 2 inhibitor,ruxolitinib,,"ruxolitinib (sustained release, myelofibrosis)",ruxolitinib,fexact,"['ruxolitinib', 'INCB-018424', 'ruxolitinib (sustained release, myelofibrosis)']","ruxolitinib (sustained release, myelofibrosis)",fexact,"['ruxolitinib', 'incb 018424', 'ruxolitinib sustained release myelofibrosis']",correct_mapping
canakinumab (SC),Interleukin 1b antagonist; Immunosuppressant,canakinumab,,canakinumab,canakinumab,fexact,"['Ilaris', 'ACZ-885', 'anti-IL-1 beta monoclonal antibody (inflammation/COVID-19-induced pneumonia/cytokine release syndrome)', 'canakinumab']",canakinumab,fexact,"['ilaris', 'acz 885', 'anti il 1 beta monoclonal antibody inflammation covid 19 induced pneumonia cytokine release syndrome', 'canakinumab']",correct_mapping
canakinumab (IV),Interleukin 1b antagonist; Immunosuppressant,canakinumab,,canakinumab,canakinumab,fexact,"['Ilaris', 'ACZ-885', 'anti-IL-1 beta monoclonal antibody (inflammation/COVID-19-induced pneumonia/cytokine release syndrome)', 'canakinumab']",canakinumab,fexact,"['ilaris', 'acz 885', 'anti il 1 beta monoclonal antibody inflammation covid 19 induced pneumonia cytokine release syndrome', 'canakinumab']",correct_mapping
MCLA-129,EGFR antagonist; MET tyrosine kinase inhibitor; Immuno-oncology therapy; Immune checkpoint modulator,MCLA-129,,MCLA-129,mcla 129,fexact,"['anti-EGFR/ cMET bispecific antibody\xa0(Biclonics/ GlymaxX, solid tumor),/', 'MCLA-129', 'anti-EGFR/ cMET bispecific antibody\xa0(Biclonics/ GlymaxX, solid tumor), Merus/']",MCLA-129,fexact,"['anti egfr cmet bispecific antibody\xa0 biclonics glymaxx solid tumor', 'mcla 129', 'anti egfr cmet bispecific antibody\xa0 biclonics glymaxx solid tumor merus']",correct_mapping
plinabulin,Angiogenesis inhibitor; Tubulin inhibitor,plinabulin,,plinabulin,plinabulin,fexact,"['halimide', 'anti-microtubule agents (cancer)', 'halimide, UCSD/', 'halimide, Nereus', 'NPI-2350a', 'anticancer agents (marine microbe-isolated), Nereus', 'phenylahistin', '(S)-(-)-phenylahistin', 'KPU-2', 'NPI-2386', 'KPU-35', 'anticancer agents (marine microbe-isolated)', 'phenylahistin series, Nereus', 'NPI-3005', 'KPU-02', 'NPI-2358', 'phenylahistin series', 'NPI-2350', 'NPI-3001', 'anti-microtubule agents (cancer), Nereus', '(-)-phenylahistin', 'NPI-2352', 'NPI-3003', 'halimide, UCSD/Nereus', 'plinabulin', 'NPI-3004']",plinabulin,fexact,"['halimide', 'anti microtubule agents cancer', 'halimide ucsd', 'halimide nereus', 'npi 2350a', 'anticancer agents marine microbe isolated nereus', 'phenylahistin', 's phenylahistin', 'kpu 2', 'npi 2386', 'kpu 35', 'anticancer agents marine microbe isolated', 'phenylahistin series nereus', 'npi 3005', 'kpu 02', 'npi 2358', 'phenylahistin series', 'npi 2350', 'npi 3001', 'anti microtubule agents cancer nereus', 'phenylahistin', 'npi 2352', 'npi 3003', 'halimide ucsd nereus', 'plinabulin', 'npi 3004']",correct_mapping
medical device therapy,Not applicable,medical device therapy,,,,0,['medical device therapy'],,0,[],0
durvalumab,PD-L1 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,durvalumab,,durvalumab,durvalumab,fexact,"['MEDI-4736', 'durvalumab', 'PD-L1 checkpoint inhibitor (cancer), Medarex/', 'Imfinzi']",durvalumab,fexact,"['medi 4736', 'durvalumab', 'pd l1 checkpoint inhibitor cancer medarex', 'imfinzi']",correct_mapping
copanlisib,PI3 kinase alpha inhibitor; PI3 kinase beta inhibitor; PI3 kinase delta inhibitor; PI3 kinase gamma inhibitor,copanlisib,,copanlisib hydrochloride,copanlisib,fexact,"['Aliqopa', 'copanlisib dihydrochloride', 'BAY-80-6946', 'PI3K inhibitor (cancer)', 'copanlisib hydrochloride', 'copanlisib']",copanlisib hydrochloride,fexact,"['aliqopa', 'copanlisib dihydrochloride', 'bay 80 6946', 'pi3k inhibitor cancer', 'copanlisib hydrochloride', 'copanlisib']",correct_mapping
BMS-986340,CC chemokine receptor 8 antagonist; Immuno-oncology therapy,BMS-986340,,BMS-986340,bms 986340,fexact,"['Treg modulator (cancer)', 'nonfucosylated anti-CCR8 mAb (cancer)', 'BMS-986340']",BMS-986340,fexact,"['treg modulator cancer', 'nonfucosylated anti ccr8 mab cancer', 'bms 986340']",correct_mapping
anlotinib hydrochloric,FGF receptor 1 tyrosine kinase inhibitor; FGF receptor 2 tyrosine kinase inhibitor; FGF receptor 3 tyrosine kinase inhibitor; FGF receptor 4 tyrosine kinase inhibitor; VEGFR-2 tyrosine kinase inhibitor; VEGFR-3 tyrosine kinase inhibitor,anlotinib hydrochloric,,,,0,['anlotinib hydrochloric'],,0,[],0
furmonertinib,EGFR kinase inhibitor,furmonertinib,,,,0,"['aifutini mesylate', 'alflutinib mesylate (oral/tablet, cancer),/', 'furmonertinib', 'fumeitini mesylate', 'alflutinib', 'aifutinib mesylate', 'AST-2818', 'alflutinib mesylate (oral/tablet, cancer),/ArriVent Biopharma', 'small molecule therapeutic (oral/tablet, cancer)', 'alflutinib mesylate (oral/tablet, cancer)']",,NER_API,[],0
radiation therapy,Unidentified pharmacological activity,radiation therapy,,,,0,['radiation therapy'],,0,[],0
"PD-L1 inhibitors, undisclosed",PD-L1 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,PD-L1 inhibitors,undisclosed,,,0,['PD-L1 inhibitors'],,0,[],0
ESG-401,Unidentified pharmacological activity,ESG-401,,ESG-401,esg 401,fexact,"['humanized mAb anti-TROP-2 program (cancer)', 'ESG-401']",ESG-401,fexact,"['humanized mab anti trop 2 program cancer', 'esg 401']",correct_mapping
gemcitabine hydrochloride,DNA synthesis inhibitor; DNA repair enzyme inhibitor; Cell cycle inhibitor,gemcitabine hydrochloride,,gemcitabine,gemcitabine hydrochloride,fexact,"['gemcitabine hydrochloride', 'LY-188011', 'dFdCTP', 'DDFC', 'Gemtro', 'dFdC', 'dFdCyd', 'difluorodeoxycytidine hydrochloride', 'Gemzar', 'gemcitabine', 'NSC-613327']",gemcitabine,fexact,"['gemcitabine hydrochloride', 'ly 188011', 'dfdctp', 'ddfc', 'gemtro', 'dfdc', 'dfdcyd', 'difluorodeoxycytidine hydrochloride', 'gemzar', 'gemcitabine', 'nsc 613327']",correct_mapping
"bevacizumab, Pfizer",Vascular endothelial growth factor (VEGF)receptor antagonist; Angiogenesis inhibitor,bevacizumab,Pfizer,bevacizumab biosimilar,bevacizumab,fexact,"['bevacizumab', 'Onbevzi', 'AYBINTIO', 'SB-8', '615', 'bevacizumab biosimilar', 'bevacizumab biosimilar, Samsung Bioepis']",bevacizumab biosimilar,fexact,"['bevacizumab', 'onbevzi', 'aybintio', 'sb 8', '615', 'bevacizumab biosimilar', 'bevacizumab biosimilar samsung bioepis']",correct_mapping
BI-1810631,Unidentified pharmacological activity,BI-1810631,,,,0,['BI-1810631'],,NER_API,[],0
IDM-2101,Immuno-oncology therapy,IDM-2101,,OSE-2101,idm 2101,fexact,"['anti-MAGE-3 vaccine, IDM', 'cancer vaccine, IDM', 'OSE-2101', 'anti-MAGE-3 vaccine', 'cancer vaccine', 'IDM-2101', 'EP-2101', 'MAGE-3', 'MAGE-3, IDM', 'Tedopi']",OSE-2101,fexact,"['anti mage 3 vaccine idm', 'cancer vaccine idm', 'ose 2101', 'anti mage 3 vaccine', 'cancer vaccine', 'idm 2101', 'ep 2101', 'mage 3', 'mage 3 idm', 'tedopi']",correct_mapping
PF-07257876,CD47 antagonist; PD-L1 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,PF-07257876,,,,0,"['dual PD-L1 checkpoint inhibitor/CD47 checkpoint inhibitor (bispecific antibody, solid tumor/NSCLC/SCCHN/ovarian cancer)', 'PF-07257876', 'anti-PD-L1/anti-CD47 bispecific antibody (solid tumor)']",,NER_API,[],0
TAK-676,STING agonist; Immuno-oncology therapy,TAK-676,,TAK-676,tak 676,fexact,"['sting agonist (cancer)', 'TAK-676']",TAK-676,fexact,"['sting agonist cancer', 'tak 676']",correct_mapping
docetaxel,Tubulin inhibitor; Microtubule stimulant; Taxane,docetaxel,,"docetaxel (polymeric micelle, solid tumor)",docetaxel,fexact,"['docetaxel-PM', 'docetaxel (polymeric micelle, solid tumor)', 'Nanoxel-PM', 'docetaxel', 'SYP-0704A', 'Nanoxel']","docetaxel (polymeric micelle, solid tumor)",fexact,"['docetaxel pm', 'docetaxel polymeric micelle solid tumor', 'nanoxel pm', 'docetaxel', 'syp 0704a', 'nanoxel']",correct_mapping
